epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,25254.1,0.2917,0.29997,0.9928,0.98985,0.99151,0.99093,0.98306,0.24114,0.22323,0.78502,0.000432048,0.000432048,0.000432048
55,25855.1,0.29296,0.29833,0.99275,0.99329,0.99057,0.9904,0.97556,0.26318,0.2383,0.81006,0.000423049,0.000423049,0.000423049
56,26421.5,0.28794,0.29737,0.98958,0.96968,0.98363,0.98883,0.96912,0.271,0.32471,0.80536,0.000414049,0.000414049,0.000414049
57,26781.8,0.29939,0.29532,0.99719,0.98195,0.99188,0.99077,0.9804,0.23198,0.22202,0.77081,0.00040505,0.00040505,0.00040505
58,27140.2,0.29075,0.30321,0.99415,0.99544,0.98906,0.99074,0.9793,0.25156,0.2461,0.8004,0.000396051,0.000396051,0.000396051
59,27496.6,0.2921,0.27849,0.98323,0.99321,0.99053,0.99142,0.98457,0.23661,0.20461,0.78234,0.000387052,0.000387052,0.000387052
60,27980.4,0.28951,0.29572,0.98639,0.99411,0.99074,0.99178,0.98392,0.23572,0.23555,0.78104,0.000378053,0.000378053,0.000378053
61,28337.1,0.2716,0.29219,0.9827,0.9797,0.98134,0.989,0.97981,0.25732,0.2924,0.78513,0.000369054,0.000369054,0.000369054
62,29093.4,0.28199,0.27721,0.98244,0.9923,0.98491,0.9915,0.98091,0.23806,0.24222,0.77342,0.000360055,0.000360055,0.000360055
63,29627.1,0.28346,0.28901,0.99547,0.99341,0.99351,0.99112,0.97883,0.23823,0.20099,0.77877,0.000351056,0.000351056,0.000351056
64,30199.7,0.27611,0.27202,0.99348,0.99171,0.99121,0.99093,0.98247,0.24608,0.22603,0.79798,0.000342057,0.000342057,0.000342057
65,30689.7,0.27166,0.2722,0.97908,0.99168,0.98921,0.99112,0.98168,0.21864,0.22041,0.76639,0.000333058,0.000333058,0.000333058
66,31350,0.27734,0.26367,0.98055,0.99352,0.99055,0.99148,0.98489,0.20622,0.18409,0.74327,0.000324058,0.000324058,0.000324058
67,32006.6,0.26625,0.26764,0.98026,0.99051,0.98959,0.99132,0.98492,0.21627,0.21184,0.75025,0.000315059,0.000315059,0.000315059
68,32619.9,0.26651,0.2593,0.97871,0.98963,0.99064,0.99182,0.98436,0.24173,0.21794,0.78145,0.00030606,0.00030606,0.00030606
69,33231.3,0.26366,0.26251,0.97832,0.99393,0.99236,0.9916,0.9859,0.20927,0.19285,0.74856,0.000297061,0.000297061,0.000297061
70,33888.2,0.2681,0.26392,0.9839,0.99321,0.99351,0.99178,0.98372,0.23783,0.19253,0.78514,0.000288062,0.000288062,0.000288062
71,34595.6,0.27107,0.25251,0.98936,0.99127,0.99351,0.99152,0.986,0.21503,0.19514,0.75589,0.000279063,0.000279063,0.000279063
72,35301.7,0.26357,0.24561,0.97819,0.99366,0.99351,0.99063,0.98172,0.2265,0.18795,0.77498,0.000270064,0.000270064,0.000270064
73,36020.6,0.26128,0.25601,0.97974,0.99375,0.99098,0.99215,0.98585,0.20223,0.18543,0.74333,0.000261065,0.000261065,0.000261065
74,36700.5,0.25385,0.23743,0.97529,0.99306,0.99351,0.99105,0.98635,0.20497,0.17503,0.74416,0.000252066,0.000252066,0.000252066
75,37321.5,0.25938,0.25026,0.97298,0.99294,0.99351,0.9909,0.98641,0.22017,0.19991,0.75788,0.000243067,0.000243067,0.000243067
76,37943.9,0.25353,0.24936,0.97908,0.99309,0.99351,0.99081,0.98574,0.23446,0.22584,0.76357,0.000234068,0.000234068,0.000234068
77,38335.1,0.24392,0.22881,0.97307,0.98855,0.99343,0.99073,0.98603,0.20633,0.21273,0.74646,0.000225068,0.000225068,0.000225068
78,38978.6,0.25111,0.23113,0.97177,0.98907,0.99339,0.99101,0.98418,0.24377,0.22917,0.78922,0.000216069,0.000216069,0.000216069
79,39372.1,0.25099,0.24366,0.9757,0.99226,0.98954,0.99029,0.9839,0.22032,0.21207,0.76776,0.00020707,0.00020707,0.00020707
80,39975.7,0.25457,0.2342,0.9798,0.99349,0.99351,0.99103,0.98698,0.19862,0.17882,0.7427,0.000198071,0.000198071,0.000198071
81,40418.7,0.2402,0.22845,0.96595,0.98983,0.99351,0.99121,0.98681,0.20257,0.19706,0.75261,0.000189072,0.000189072,0.000189072
82,40897.2,0.24477,0.22217,0.96606,0.98994,0.99351,0.99089,0.98617,0.18764,0.18037,0.73085,0.000180073,0.000180073,0.000180073
83,41565,0.24208,0.22728,0.97239,0.9942,0.99351,0.99171,0.98734,0.18213,0.17578,0.72604,0.000171074,0.000171074,0.000171074
84,42183.6,0.2367,0.21774,0.96219,0.99397,0.99351,0.99222,0.98787,0.17365,0.18077,0.7153,0.000162075,0.000162075,0.000162075
85,42584.6,0.23026,0.21978,0.96032,0.99356,0.99285,0.99197,0.98836,0.17412,0.17217,0.7125,0.000153076,0.000153076,0.000153076
86,43132.8,0.23268,0.21541,0.96382,0.99386,0.99038,0.99203,0.98748,0.19727,0.17656,0.74429,0.000144077,0.000144077,0.000144077
87,43492.6,0.23476,0.21761,0.97282,0.99366,0.9912,0.99215,0.98797,0.18357,0.18038,0.72141,0.000135077,0.000135077,0.000135077
88,43973.6,0.23027,0.21602,0.95901,0.99425,0.99351,0.99352,0.98741,0.18488,0.16047,0.73238,0.000126078,0.000126078,0.000126078
89,44333.3,0.22964,0.21613,0.95463,0.9938,0.99351,0.99199,0.98773,0.18829,0.17155,0.73294,0.000117079,0.000117079,0.000117079
90,44836.2,0.22002,0.20502,0.96024,0.99359,0.99351,0.99175,0.98749,0.18536,0.17302,0.73668,0.00010808,0.00010808,0.00010808
91,45467.5,0.12116,0.12947,0.88151,0.99411,0.99351,0.9915,0.98711,0.18234,0.17054,0.73075,9.9081e-05,9.9081e-05,9.9081e-05
92,46068.8,0.11627,0.12385,0.8749,0.99274,0.99351,0.99076,0.98724,0.17869,0.16112,0.72114,9.00819e-05,9.00819e-05,9.00819e-05
93,46452.1,0.1134,0.11554,0.8709,0.99498,0.99351,0.99139,0.98787,0.1715,0.15559,0.71191,8.10828e-05,8.10828e-05,8.10828e-05
94,47169,0.11237,0.11572,0.87967,0.99364,0.99351,0.99073,0.98736,0.16577,0.15345,0.70478,7.20837e-05,7.20837e-05,7.20837e-05
95,48373.5,0.10771,0.10737,0.86615,0.99371,0.99251,0.99103,0.98811,0.16897,0.16086,0.70598,6.30846e-05,6.30846e-05,6.30846e-05
96,49679.2,0.09941,0.09933,0.86522,0.99358,0.99351,0.99144,0.98875,0.15004,0.14603,0.68848,5.40855e-05,5.40855e-05,5.40855e-05
97,50683.8,0.09815,0.10337,0.863,0.99419,0.99351,0.99103,0.98823,0.15391,0.14128,0.69211,4.50864e-05,4.50864e-05,4.50864e-05
98,51752.8,0.09782,0.10342,0.8686,0.9942,0.99351,0.9915,0.9888,0.15397,0.13644,0.69286,3.60873e-05,3.60873e-05,3.60873e-05
99,52896.1,0.09456,0.09424,0.85647,0.99394,0.99351,0.99074,0.98821,0.1488,0.13492,0.68956,2.70882e-05,2.70882e-05,2.70882e-05
100,53896.1,0.09571,0.09451,0.86747,0.99433,0.99351,0.99073,0.98824,0.15168,0.1369,0.69238,1.80891e-05,1.80891e-05,1.80891e-05
